BLK00,TAZ_2000,lat,lon
270030501071022,1,45.4030960000,-93.4618020000
270030501121008,15,45.4076624000,-93.0565680000
270030501082029,2,45.4035082000,-93.2628460000
270030501082016,2,45.4056444000,-93.2656340000
270030501082017,2,45.4064081000,-93.2681220000
270030501082018,2,45.4030576000,-93.2752040000
270030501121007,15,45.4078420000,-93.0608170000
270030501121012,15,45.4070047000,-93.0475300000
270030501071019,1,45.4035597000,-93.4796710000
270030501121004,15,45.4068966000,-93.0665090000
270030501071018,1,45.3980637000,-93.4901550000
270030501071008,1,45.3940094000,-93.4295250000
270030501092014,12,45.3969052000,-93.1894270000
270030501121006,15,45.4069434000,-93.0611730000
270030501121010,15,45.4060792000,-93.0574420000
270030501121009,15,45.4068259000,-93.0574250000
270030501071017,1,45.4044810000,-93.5040220000
270030501071036,1,45.4026934000,-93.3781390000
270030501071035,1,45.4042391000,-93.3903270000
270030501121011,15,45.4052107000,-93.0498990000
270030501092003,12,45.4047204000,-93.1497770000
270030501122008,15,45.4004094000,-93.1178160000
270030501121005,15,45.4060445000,-93.0630600000
270030501121036,15,45.4043063000,-93.0970110000
270030501071002,1,45.4047756000,-93.4062220000
270030501121037,15,45.4020424000,-93.0856610000
270030501071025,1,45.3943893000,-93.5019570000
270030501082019,2,45.4043498000,-93.2687310000
270030501082020,2,45.4041937000,-93.2674490000
270030501121015,15,45.4037265000,-93.0540120000
270030501121014,15,45.4040260000,-93.0499440000
270030501121013,15,45.4039480000,-93.0460670000
270030501082022,2,45.4033791000,-93.2689340000
270030501082021,2,45.4032310000,-93.2674920000
270030501082015,2,45.4012191000,-93.2662470000
270030501071033,1,45.3996814000,-93.4158840000
270030501121016,15,45.4030658000,-93.0532730000
270030501121017,15,45.4031216000,-93.0499690000
270030501121018,15,45.4030411000,-93.0460410000
270030501082023,2,45.4024152000,-93.2691860000
270030501082024,2,45.4022653000,-93.2677370000
270030501092015,12,45.3975725000,-93.2132630000
270030501121022,15,45.4023840000,-93.0548430000
270030501122021,15,45.3929910000,-93.1345790000
270030501092012,12,45.3936734000,-93.2016300000
270030501121023,15,45.3972765000,-93.0553480000
270030501121021,15,45.4022493000,-93.0534330000
270030501121020,15,45.4021990000,-93.0499840000
270030501121019,15,45.4021339000,-93.0460280000
270030501122007,15,45.4010522000,-93.0993650000
270030501082026,2,45.4005677000,-93.2695680000
270030501082025,2,45.4005049000,-93.2681250000
270030501071003,1,45.4002693000,-93.3982590000
270030501122006,15,45.4000226000,-93.0979140000
270030501121025,15,45.3946020000,-93.0374370000
270030501071026,1,45.3974555000,-93.4946470000
270030501071024,1,45.3914616000,-93.4730990000
270030501071023,1,45.3914861000,-93.4536820000
270030501121024,15,45.3992687000,-93.0522890000
270030501071004,1,45.3928535000,-93.3912580000
270030501071005,1,45.3960132000,-93.3857250000
270030501071038,1,45.3936808000,-93.3740620000
270030501071037,1,45.3985810000,-93.3695960000
270030501081010,1,45.3978976000,-93.3659270000
270030501122009,15,45.3957474000,-93.1034420000
270030501094005,12,45.3902018000,-93.2257650000
270030501082014,2,45.3968222000,-93.2667190000
270030501082028,2,45.3969472000,-93.2627730000
270030501082027,2,45.3964780000,-93.2742720000
270030501091009,11,45.3822923000,-93.2535760000
270030501091010,11,45.3975291000,-93.2568700000
270030501071034,1,45.3948032000,-93.4153720000
270030501082010,2,45.3918636000,-93.3036310000
270030501091008,11,45.3962146000,-93.2509630000
270030501094006,12,45.3969796000,-93.2323590000
270030501082011,2,45.3910484000,-93.2815420000
270030501091005,11,45.3953770000,-93.2358600000
270030501091006,11,45.3914632000,-93.2427100000
270030501122005,15,45.3956848000,-93.0951540000
270030501121026,15,45.3937782000,-93.0267590000
270030501122041,15,45.3904102000,-93.0694260000
270030501071007,1,45.3892297000,-93.3975280000
270030501081011,1,45.3943704000,-93.3655290000
270030501071039,1,45.3959160000,-93.3700480000
270030501071043,1,45.3960592000,-93.3830740000
270030501071042,1,45.3960572000,-93.3799680000
270030501071040,1,45.3949619000,-93.3751260000
270030501071044,1,45.3943397000,-93.3805830000
270030501071041,1,45.3947399000,-93.3763370000
270030501071006,1,45.3929720000,-93.3877940000
270030501071045,1,45.3949869000,-93.3799260000
270030501094007,12,45.3945387000,-93.2311630000
270030501082013,2,45.3893630000,-93.2676170000
270030501071027,1,45.3896868000,-93.5058720000
270030501071046,1,45.3929729000,-93.3790270000
270030501122010,15,45.3909249000,-93.1017290000
270030501122004,15,45.3904875000,-93.0847430000
270030501122011,15,45.3899935000,-93.0977980000
270030501071047,1,45.3922274000,-93.3697100000
270030501071048,1,45.3921179000,-93.3682520000
270030501122997,15,45.3920422000,-93.0933370000
270030501071999,1,45.3911683000,-93.5086510000
270030501081012,1,45.3891861000,-93.3613220000
270030501081013,1,45.3898399000,-93.3652080000
270030501092004,12,45.3908828000,-93.1618080000
270030501082004,2,45.3913852000,-93.3398280000
270030501091007,11,45.3909739000,-93.2414190000
270030501122020,15,45.3882188000,-93.1150850000
270030501094004,12,45.3815037000,-93.2234230000
270030501082006,2,45.3874610000,-93.3411580000
270030501082005,2,45.3906547000,-93.3398080000
270030501122998,15,45.3850579000,-93.0846730000
270030501092011,12,45.3911023000,-93.2091820000
270030501122016,15,45.3833834000,-93.0897040000
270030501121027,15,45.3890830000,-93.0264970000
270030501122012,15,45.3908487000,-93.0918440000
270030501082007,2,45.3897001000,-93.3440410000
