stopID,lineno
545,46
545,146
545,568
545,587
557,61
558,61
573,65
575,65
576,65
578,65
580,65
591,87
594,32
594,87
594,225
594,260
594,801
596,225
599,553
600,553
601,553
602,553
603,553
604,553
605,553
607,553
608,553
609,553
610,553
611,553
612,553
613,553
614,553
615,553
616,553
617,553
618,553
618,16558
619,553
619,16558
620,553
620,16558
624,540
633,553
633,16558
634,553
634,16558
635,553
635,16558
636,553
636,16558
637,553
637,16558
638,553
638,16558
639,553
639,16558
640,553
640,16558
641,553
641,16558
642,553
642,16558
643,553
643,16558
645,111
645,515
647,111
647,515
649,111
649,515
651,111
651,515
653,111
653,515
655,111
655,515
656,515
656,552
657,515
657,552
658,515
658,552
659,515
659,552
660,515
660,552
661,515
661,552
662,515
662,552
663,515
663,552
664,515
664,552
665,515
665,552
672,552
673,552
674,552
675,552
675,553
676,552
676,553
684,538
685,538
685,539
687,415
687,440
687,441
687,442
687,444
687,445
687,477
687,515
687,538
687,539
687,540
687,542
687,16558
688,538
688,539
689,538
689,539
690,538
690,539
699,552
699,553
700,552
700,553
701,552
702,552
703,552
704,515
704,552
709,515
709,552
710,515
710,552
711,515
711,552
712,515
712,552
714,515
714,552
715,515
715,552
716,515
716,552
717,515
717,552
718,515
718,552
719,515
719,552
720,515
720,552
722,111
722,515
724,111
724,515
726,111
726,515
728,111
728,515
730,111
730,515
733,111
733,553
733,16558
735,111
735,553
735,16558
736,111
736,553
736,16558
737,111
737,553
737,16558
739,111
739,16558
741,111
741,16558
742,111
742,16558
743,111
743,16558
744,111
744,16558
747,14
747,552
749,14
749,552
750,14
750,552
751,14
751,552
752,14
752,552
753,14
753,552
754,14
754,552
756,14
756,552
757,14
757,552
758,14
758,552
765,14
765,552
767,14
767,552
768,14
768,552
769,14
769,552
770,14
770,552
771,14
771,552
773,14
773,552
774,14
774,552
775,14
775,111
775,16558
776,14
776,111
776,16558
777,14
777,111
777,16558
778,111
778,133
778,16558
779,111
779,133
779,16558
780,111
780,133
780,16558
781,111
781,133
781,16558
783,111
783,133
783,16558
784,111
784,133
784,16558
785,111
785,133
785,16558
786,111
786,133
786,16558
787,133
787,16558
788,133
788,16558
789,133
789,16558
790,133
790,16558
791,133
791,16558
792,133
792,16558
793,133
793,16558
794,16558
795,16558
796,16558
797,16558
798,16558
799,16558
800,16558
801,16558
803,16558
806,39
806,16558
812,16558
813,16558
815,16558
817,16558
819,16558
826,16497
827,16497
828,16497
831,16497
832,16497
834,16497
836,16497
837,16497
838,16497
839,16497
840,16497
842,16497
843,16497
845,16497
847,16497
849,16497
851,16497
852,16497
859,16497
860,16497
861,16497
863,16497
864,16497
865,16497
866,16497
870,16497
872,16497
873,16497
874,16497
876,16497
877,16497
879,16497
880,16497
881,16497
882,16497
884,16497
886,16497
911,16497
914,16497
916,16497
917,16497
918,16497
919,16497
921,16497
922,16497
924,16497
925,16497
926,16497
929,16497
930,16497
931,16497
934,16497
935,16497
936,16497
938,16497
939,16497
940,16497
941,16497
948,16497
950,16497
952,16497
954,16497
956,16497
957,16497
958,16497
959,16497
960,16497
961,16497
962,16497
964,16497
966,16497
970,16497
972,16497
973,67
973,16497
974,62
974,67
974,16497
975,62
975,67
975,262
975,16497
979,46
979,146
979,568
982,46
982,146
982,568
983,46
983,146
983,568
984,46
984,146
984,568
986,46
986,146
986,568
988,46
989,46
989,146
989,568
990,46
990,146
990,152
990,568
992,46
992,146
992,152
992,568
994,46
994,146
994,152
994,568
995,46
995,146
995,152
995,568
997,46
997,146
997,152
997,568
998,46
998,146
998,152
998,568
1000,46
1000,146
1000,152
1000,568
1002,46
1002,146
1002,152
1002,568
1004,46
1004,146
1004,152
1004,568
1005,46
1005,146
1005,152
1005,568
1005,16528
1007,46
1007,146
1007,152
1007,568
1007,16528
1009,46
1009,146
1009,152
1009,568
1009,16528
1011,46
1011,146
1011,152
1011,568
1011,16528
1012,46
1012,146
1012,152
1012,568
1012,16528
1014,46
1014,146
1014,152
1014,568
1014,16528
1016,46
1016,146
1016,152
1016,568
1016,16528
1018,16528
1019,16528
1020,16528
1021,16528
1022,16528
1023,16528
1024,16528
1025,16528
1026,16528
1027,16528
1028,16528
1029,16528
1030,16528
1031,16528
1034,156
1035,16528
1036,16528
1037,16528
1038,16528
1039,16528
1040,558
1040,576
1040,16528
1041,558
1041,576
1041,16528
1042,558
1042,576
1042,16528
1043,558
1043,576
1043,16528
1044,558
1044,576
1044,16528
1045,558
1045,576
1045,16528
1046,558
1046,576
1046,16528
1047,558
1047,576
1047,16528
1048,558
1048,576
1048,16528
1053,535
1053,538
1053,539
1053,542
1053,558
1054,538
1054,542
1054,558
1055,558
1055,16528
1056,538
1056,542
1056,558
1061,539
1061,542
1066,535
1066,538
1066,539
1066,542
1066,558
1066,16528
1067,542
1067,558
1067,576
1067,16528
1069,558
1069,576
1069,16528
1070,558
1070,576
1070,16528
1071,558
1071,576
1071,16528
1072,558
1072,576
1072,16528
1073,558
1073,576
1073,16528
1074,558
1074,576
1074,16528
