stopID,TAZ,access_time,block00ID
135,321,5.288697937,270531115007008
135,322,3.668027979,270531114002012
135,322,2.236631483,270531114002013
135,322,1.601091129,270531114002015
135,322,1.232208124,270531114002014
135,325,2.009218121,270531114003000
136,323,1.63223261,270531115005009
136,323,1.622378851,270531115005010
136,325,4.344802062,270531114003005
136,325,6.295013451,270531114003011
136,325,4.88865377,270531114003010
136,325,3.459957506,270531114003009
136,325,2.177647314,270531114003008
136,325,1.156729072,270531114003007
136,325,1.595217002,270531114003006
137,325,3.387962853,270531114004002
137,325,1.068080353,270531114004000
137,325,2.151813942,270531114004001
137,325,6.512778482,270531114003011
137,325,5.143111557,270531114003010
137,325,3.864227899,270531114003009
137,325,2.668540539,270531114003008
139,323,1.091171272,270531115003002
139,325,0.824360398,270531114004021
141,323,1.075771175,270531115003002
141,323,2.362812727,270531115003003
141,323,3.69443776,270531115003004
146,321,2.824735878,270531115007006
146,321,1.139499155,270531115007005
146,321,5.276900201,270531115007008
146,322,0.930918892,270531114002014
146,322,3.738408466,270531114002012
146,322,2.290126567,270531114002013
149,322,1.29707998,270531114001014
150,322,1.34868438,270531114001013
150,322,1.411159636,270531114001014
151,321,3.877443993,270531115008007
151,322,2.368263997,270531114001003
151,322,1.285277545,270531114001002
151,322,1.38684762,270531114001001
151,322,2.478724096,270531114001000
151,322,3.70392888,270531114001004
152,321,3.960188637,270531108003005
152,322,1.439378999,270530107002015
152,322,2.562099184,270530107002016
152,322,2.403339867,270530107002013
152,322,1.356549436,270530107002014
153,322,3.664119155,270530107002004
153,322,2.298531491,270530107002003
153,322,1.26999966,270530107002002
153,322,1.457795826,270530107002001
153,322,5.045222726,270530107002005
154,335,2.345601338,270530107003012
154,335,1.311080191,270530107003013
154,335,7.515827628,270531099004016
154,335,3.957430018,270530107003010
154,335,6.160491504,270530107003011
155,335,2.298776204,270530107003009
155,335,1.328399557,270530107003008
155,335,2.584316248,270530107001004
155,335,1.514554186,270530107001005
155,335,5.732440611,270530107003004
156,335,2.357065247,270530107003006
156,335,1.355252847,270530107003007
156,335,2.607410636,270530107001003
156,335,3.978035815,270530107003005
156,335,1.524299603,270530107001002
157,335,2.358556181,270530107003001
157,335,1.511901066,270530107001001
157,335,2.617257594,270530107001000
157,335,5.037522437,270531099004014
157,335,1.400705635,270530107003000
158,335,2.330038581,270531099004013
158,335,1.326357473,270531099004012
158,335,1.562807165,270531099004011
158,335,2.664281568,270531099004010
159,335,1.436412811,270531099004006
159,335,2.626156349,270531099004009
